,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,building_ID
0,1,1,1,1,2,1,0
1,0,1,0,2,1,2,0
2,1,2,2,2,3,5,0
3,0,2,1,3,2,4,0
4,1,2,1,3,2,4,0
5,1,2,2,2,4,4,0
6,1,1,3,3,4,4,0
7,0,1,1,2,1,3,0
8,1,2,3,2,3,5,0
9,1,2,3,2,4,4,0
10,0,1,3,3,2,4,0
11,1,2,3,4,4,5,0
12,1,2,1,2,4,2,0
13,1,2,2,2,4,4,0
14,0,1,2,2,2,3,0
15,0,1,2,1,4,4,0
16,1,1,0,1,1,1,0
17,1,2,2,4,4,5,0
18,0,1,1,1,3,2,0
19,0,1,1,3,2,3,0
20,1,2,2,2,4,3,0
21,1,2,3,3,3,5,0
22,0,0,0,1,1,3,0
23,1,1,2,3,4,4,0
24,0,0,1,0,2,1,0
25,1,1,1,1,1,2,0
26,0,1,2,2,2,4,0
27,0,0,0,0,0,0,0
28,1,2,1,2,3,2,0
29,0,1,1,3,2,2,0
30,0,1,2,3,2,4,0
31,1,2,2,3,3,5,0
32,0,2,2,2,2,4,0
33,0,1,0,2,2,1,0
34,0,0,1,0,0,1,0
35,1,2,2,4,4,5,0
36,0,0,2,2,3,3,0
37,0,0,1,2,3,4,0
38,0,1,2,2,1,3,0
39,0,0,0,0,1,1,0
40,1,2,2,3,4,4,0
41,0,0,1,1,0,2,0
42,0,1,1,3,3,4,0
43,0,1,2,2,3,3,0
44,0,0,1,1,2,2,0
45,1,2,2,3,3,5,0
46,0,0,0,1,2,2,0
47,1,2,3,4,4,4,0
48,1,1,1,2,1,2,0
49,1,1,2,2,3,5,0
50,1,1,2,2,3,3,0
51,1,2,2,3,3,5,0
52,1,1,2,1,3,3,0
53,1,2,2,2,3,4,0
54,1,2,2,2,4,5,0
55,1,1,1,3,2,3,0
56,1,2,3,4,5,5,0
57,1,2,2,3,3,4,0
58,1,2,1,2,3,3,0
59,0,1,0,2,2,3,0
60,0,1,0,2,1,1,0
61,1,2,2,4,3,4,0
62,0,0,1,1,0,3,0
63,0,0,0,0,1,1,0
64,1,2,3,4,5,5,0
65,0,1,2,1,2,2,0
66,1,0,0,1,1,2,0
67,1,2,3,3,3,6,0
68,0,1,2,3,4,4,0
69,0,1,2,2,3,4,0
70,0,0,0,0,1,1,0
71,1,1,2,2,3,3,0
72,1,2,1,3,3,5,0
73,0,0,1,2,1,2,0
74,0,0,1,1,2,4,0
75,0,1,3,2,3,4,0
76,1,1,2,2,4,3,0
77,1,1,1,2,2,2,0
78,1,1,3,3,3,4,0
79,0,1,2,1,2,2,0
80,0,1,2,2,2,2,0
81,0,0,1,2,3,2,0
82,0,1,2,2,2,4,0
83,0,0,0,1,0,0,0
84,1,1,3,4,4,4,0
85,0,1,2,2,3,2,0
86,0,0,2,2,2,3,0
87,0,0,0,0,1,1,0
88,1,2,3,3,3,4,0
89,0,0,1,2,2,2,0
90,0,0,1,1,2,2,0
91,0,1,1,1,2,2,0
92,0,0,0,0,0,1,0
93,0,0,0,0,0,1,0
94,0,0,0,0,1,1,0
95,0,0,0,1,1,3,0
96,0,1,2,3,3,3,0
97,1,2,2,1,3,4,0
98,0,1,1,1,2,0,0
99,1,1,2,2,4,2,0
100,0,1,2,2,3,3,0
101,1,1,2,3,2,6,0
102,0,2,2,3,3,4,0
103,0,1,0,1,2,1,0
104,1,2,2,2,4,4,0
105,0,0,2,1,2,4,0
106,0,0,0,0,2,1,0
107,1,2,3,4,5,5,0
108,1,1,1,1,3,3,0
109,1,2,1,2,3,5,0
110,0,0,0,0,1,1,0
111,0,0,2,1,3,2,0
112,1,2,3,4,5,5,0
113,0,0,0,1,2,1,0
114,0,1,1,1,1,3,0
115,0,0,2,1,3,3,0
116,0,1,0,0,1,2,0
117,0,0,0,0,0,0,0
118,1,2,1,3,3,5,0
119,0,1,3,2,2,2,0
120,1,1,1,2,0,2,0
121,1,2,2,3,4,5,0
122,1,2,2,4,4,5,0
123,1,1,2,2,3,3,0
124,0,1,1,1,3,3,0
125,0,2,2,3,4,4,0
126,0,1,2,2,4,4,0
127,0,2,3,2,3,4,0
128,0,1,2,4,2,4,0
129,0,1,1,1,1,2,0
130,1,2,2,3,4,5,0
131,1,1,2,2,3,4,0
132,1,2,1,2,2,5,0
133,1,2,2,3,3,4,0
134,0,0,0,2,2,1,0
135,1,2,3,4,5,5,0
136,0,0,1,1,3,2,0
137,1,1,2,2,4,3,0
138,0,0,0,1,2,1,0
139,1,2,3,4,4,5,0
140,1,1,2,2,4,4,0
141,1,2,2,2,3,4,0
142,1,1,2,2,3,4,0
143,1,1,2,3,4,3,0
144,1,2,3,4,4,5,0
145,0,2,2,3,3,4,0
146,0,1,2,2,3,4,0
147,0,1,2,2,2,4,0
148,1,2,2,4,4,5,0
149,1,1,1,1,1,2,0
150,1,2,2,3,5,4,0
151,1,2,1,2,3,3,0
152,1,1,2,1,3,3,0
153,0,1,1,2,3,2,0
154,0,0,2,1,2,3,0
155,1,1,2,2,4,4,0
156,0,0,0,2,1,1,0
157,1,0,1,2,2,3,0
158,1,2,2,3,4,5,0
159,0,1,1,1,1,1,0
160,0,1,1,2,2,2,0
161,1,1,2,2,4,4,0
162,1,2,2,4,5,5,0
163,1,1,2,3,4,4,0
164,0,0,1,1,2,3,0
165,0,0,1,3,3,2,0
166,0,1,2,1,1,3,0
167,1,1,2,2,3,3,0
168,0,0,0,0,1,1,0
169,0,1,1,2,2,2,0
170,0,0,0,0,1,0,0
171,1,2,3,4,5,5,0
172,0,0,0,2,2,1,0
173,0,1,2,2,2,2,0
174,1,1,2,4,3,4,0
175,1,1,2,2,3,4,0
176,1,2,2,2,4,4,0
177,0,0,1,1,1,2,0
178,0,0,1,2,2,4,0
179,1,2,2,4,4,4,0
180,1,1,2,3,2,3,0
181,0,0,1,1,0,2,0
182,1,2,3,4,4,5,0
183,0,1,1,1,1,2,0
184,1,1,2,2,4,4,0
185,0,0,1,2,1,1,0
186,0,1,1,1,3,2,0
187,1,2,3,3,5,6,0
188,1,2,3,3,5,4,0
189,1,1,2,1,1,3,0
190,0,1,2,2,4,4,0
191,0,1,2,1,2,3,0
192,0,0,0,1,0,0,0
193,0,0,0,0,2,2,0
194,1,2,3,4,5,6,0
195,0,0,0,1,2,1,0
196,1,2,2,3,4,4,0
197,0,0,0,0,1,1,0
198,1,2,1,2,3,3,0
199,1,1,2,3,3,6,0
200,0,1,2,3,3,4,0
201,1,1,2,2,2,5,0
202,0,0,1,1,3,0,0
203,1,2,3,3,4,5,0
204,0,1,1,2,3,1,0
205,1,2,2,2,3,5,0
206,0,1,3,3,4,4,0
207,0,0,2,1,1,2,0
208,0,1,2,2,1,2,0
209,0,1,2,2,3,3,0
210,0,0,1,2,2,2,0
211,1,2,1,2,2,2,0
212,0,0,0,0,0,0,0
213,1,2,3,3,5,5,0
214,0,1,1,1,1,2,0
215,0,0,1,1,2,3,0
216,0,0,0,1,1,0,0
217,1,1,3,3,4,6,0
218,0,0,0,1,1,2,0
219,0,1,0,2,1,1,0
220,1,2,3,3,3,4,0
221,1,2,3,2,5,5,0
222,1,0,1,2,2,2,0
223,1,2,1,2,1,3,0
224,0,1,3,2,2,4,0
225,0,0,1,2,3,2,0
226,1,1,1,2,3,4,0
227,0,0,0,1,1,1,0
228,1,2,1,1,2,4,0
229,0,0,1,0,0,2,0
230,0,1,3,2,4,4,0
231,1,2,3,3,4,5,0
232,0,1,1,2,3,2,0
233,1,1,2,4,4,6,0
234,1,1,2,3,3,4,0
235,0,1,2,2,2,1,0
236,0,1,1,2,3,3,0
237,0,1,2,1,1,2,0
238,1,1,1,3,3,2,0
239,1,0,0,2,2,5,0
240,1,1,3,3,4,4,0
241,1,0,1,2,2,3,0
242,1,1,1,3,2,2,0
243,1,1,1,2,2,2,0
244,0,0,1,1,1,2,0
245,0,0,0,1,0,2,0
246,0,0,2,1,1,4,0
247,0,1,0,1,1,1,0
248,0,1,1,2,2,4,0
249,1,1,1,2,2,2,0
250,0,0,0,0,0,1,0
251,1,2,3,2,4,4,0
252,0,0,0,1,2,2,0
253,1,2,2,3,5,5,0
254,0,0,1,2,2,3,0
255,0,0,1,1,2,1,0
256,0,0,0,2,0,1,0
257,1,1,2,2,4,3,0
258,1,2,3,4,4,6,0
259,1,2,1,2,3,5,0
260,0,0,1,1,3,4,0
261,1,2,2,3,3,5,0
262,0,0,1,3,2,2,0
263,1,2,2,3,3,5,0
264,1,1,1,1,1,2,0
265,0,1,2,1,1,3,0
266,0,1,1,2,2,3,0
267,0,0,1,0,2,2,0
268,1,1,2,3,2,3,0
269,0,0,1,1,2,2,0
270,1,2,2,3,3,4,0
271,1,2,2,4,4,5,0
272,0,0,1,3,2,2,0
273,1,1,2,2,3,4,0
274,0,1,1,2,2,2,0
275,0,1,3,1,3,4,0
276,1,2,2,3,2,5,0
277,0,1,2,1,3,2,0
278,1,2,1,3,3,4,0
279,0,1,1,2,1,2,0
280,0,0,0,0,0,1,0
281,0,0,2,2,3,4,0
282,1,2,2,3,3,3,0
283,0,1,2,3,3,3,0
284,1,2,3,4,4,5,0
285,0,0,0,1,2,3,0
286,0,2,2,2,4,4,0
287,1,1,2,2,3,3,0
288,0,1,2,2,4,4,0
289,1,1,2,2,2,2,0
290,0,0,0,1,1,0,0
291,0,0,0,1,2,2,0
292,1,1,2,3,4,4,0
293,1,2,3,4,4,5,0
294,1,0,1,2,2,3,0
295,1,1,2,2,3,3,0
296,0,1,2,2,1,4,0
297,0,1,2,2,4,4,0
298,0,0,2,3,2,3,0
299,0,0,1,2,3,2,0
300,0,1,2,2,3,4,0
301,0,1,2,2,4,2,0
302,0,1,1,1,2,2,0
303,1,1,2,2,4,4,0
304,0,0,1,1,1,1,0
305,0,1,2,2,4,4,0
306,0,1,1,2,2,2,0
307,1,2,2,2,5,4,0
308,1,1,2,2,4,3,0
309,0,0,0,0,0,0,0
310,0,1,2,1,2,2,0
311,1,1,2,1,3,4,0
312,0,0,1,1,2,1,0
313,1,2,2,4,4,4,0
314,1,2,2,3,4,3,0
315,1,2,2,2,3,5,0
316,1,2,1,3,3,4,0
317,0,0,1,2,2,2,0
318,0,1,3,2,4,4,0
319,1,2,3,4,5,6,0
320,0,0,1,1,0,2,0
321,1,1,1,2,2,2,0
322,0,1,1,1,2,3,0
323,0,0,0,1,1,1,0
324,1,1,1,1,3,3,0
325,0,1,2,2,3,3,0
326,0,0,1,0,0,2,0
327,1,1,1,1,2,2,0
328,1,2,2,3,3,4,0
329,1,2,2,3,4,3,0
330,0,0,1,1,1,0,0
331,1,1,3,3,4,4,0
332,0,1,2,3,4,4,0
333,1,2,3,4,4,5,0
334,1,1,2,2,3,4,0
335,1,2,2,2,4,4,0
336,1,2,2,3,3,4,0
337,1,0,1,1,2,3,0
338,1,1,1,1,0,2,0
339,0,0,0,0,1,0,0
340,0,0,1,2,3,1,0
341,1,2,2,3,4,5,0
342,1,0,1,2,1,1,0
343,0,1,1,1,1,4,0
344,1,2,3,2,5,4,0
345,1,2,3,4,5,5,0
346,1,1,1,3,2,3,0
347,0,1,0,1,0,2,0
348,1,2,2,3,4,5,0
349,1,1,2,2,1,3,0
350,0,1,2,1,2,2,0
351,0,0,1,2,2,2,0
352,0,0,1,1,3,2,0
353,1,1,2,2,4,4,0
354,0,0,0,0,2,1,0
355,0,1,1,1,2,2,0
356,1,1,3,3,3,4,0
357,0,1,0,1,1,3,0
358,1,1,2,2,3,3,0
359,0,0,1,1,0,2,0
360,1,1,1,2,2,3,0
361,0,0,1,1,3,2,0
362,0,0,1,2,2,1,0
363,0,1,1,2,1,2,0
364,0,0,1,1,1,2,0
365,1,2,2,3,5,5,0
366,1,2,2,3,5,5,0
367,1,2,2,3,3,5,0
368,1,2,3,3,3,5,0
369,0,1,2,2,4,4,0
370,1,1,2,1,3,3,0
371,0,0,0,1,1,1,0
372,1,1,2,3,3,2,0
373,1,0,2,2,3,5,0
374,0,0,0,0,0,1,0
375,0,0,1,1,3,2,0
376,0,1,0,2,2,1,0
377,0,0,0,0,1,0,0
378,0,2,3,4,4,4,0
379,0,0,1,1,0,0,0
380,0,1,1,0,1,2,0
381,1,1,2,1,3,2,0
382,0,1,0,0,1,0,0
383,1,2,2,2,4,4,0
384,0,0,2,2,3,4,0
385,1,1,2,2,3,3,0
386,1,1,2,2,4,4,0
387,1,2,3,3,4,6,0
388,1,2,3,4,5,6,0
389,0,1,0,0,2,0,0
390,0,1,0,1,1,2,0
391,1,1,3,4,4,5,0
392,1,2,3,4,4,5,0
393,1,2,2,3,4,5,0
394,0,1,0,2,1,2,0
395,0,1,1,1,3,0,0
396,1,2,2,3,5,5,0
397,0,1,2,2,3,3,0
398,1,2,1,2,2,3,0
399,1,2,2,3,4,5,0
400,1,2,1,3,3,3,0
401,1,1,2,3,3,4,0
402,0,0,1,0,0,1,0
403,1,1,1,3,2,3,0
404,0,1,2,2,2,5,0
405,0,1,0,1,1,3,0
406,0,1,2,1,1,4,0
407,1,2,3,4,5,6,0
408,1,2,3,4,5,6,0
409,1,2,3,3,3,6,0
410,1,1,1,1,2,3,0
411,1,1,1,2,3,3,0
412,0,1,2,3,4,4,0
413,1,2,2,2,3,4,0
414,0,0,0,2,1,1,0
415,1,2,1,2,3,4,0
416,0,0,0,1,1,1,0
417,1,2,2,2,4,5,0
418,0,1,0,2,1,1,0
419,1,1,2,2,4,4,0
420,1,1,2,1,3,4,0
421,1,2,1,2,2,4,0
422,1,2,3,4,4,6,0
423,0,0,1,1,3,3,0
424,1,1,1,1,2,3,0
425,0,0,1,1,1,2,0
426,0,0,0,1,1,0,0
427,1,2,3,2,4,4,0
428,1,1,3,2,3,2,0
429,0,0,0,0,0,0,0
430,0,2,2,2,4,4,0
431,0,0,1,2,2,2,0
432,0,1,2,1,1,1,0
433,1,2,2,2,3,5,0
434,1,1,1,2,3,3,0
435,0,0,0,1,1,1,0
436,0,0,1,1,2,2,0
437,1,2,2,2,3,3,0
438,0,1,0,0,2,2,0
439,0,1,0,2,2,2,0
440,1,2,1,1,3,2,0
441,1,2,2,4,2,5,0
442,0,0,0,0,0,0,0
443,0,1,2,2,2,4,0
444,0,0,0,1,1,1,0
445,0,1,2,2,2,4,0
446,1,1,2,1,3,3,0
447,0,1,2,1,3,5,0
448,1,2,2,3,4,5,0
449,1,2,1,3,3,3,0
450,0,0,1,1,1,2,0
451,0,1,0,0,1,2,0
452,0,1,1,1,1,3,0
453,0,1,1,1,1,3,0
454,0,1,2,1,3,2,0
455,1,2,2,2,3,5,0
456,1,2,1,2,3,4,0
457,0,2,2,2,3,2,0
458,0,1,1,2,1,2,0
459,1,2,3,4,5,5,0
460,0,0,2,1,3,3,0
461,0,0,0,1,1,0,0
462,1,2,2,4,4,4,0
463,0,0,0,0,0,0,0
464,0,1,2,3,3,3,0
465,0,1,2,2,4,2,0
466,0,0,0,1,1,1,0
467,0,0,1,0,1,1,0
468,1,2,1,2,2,4,0
469,1,2,2,2,2,5,0
470,0,1,3,2,4,4,0
471,1,2,3,2,3,4,0
472,0,1,0,1,1,0,0
473,1,1,2,3,4,2,0
474,0,0,1,1,2,1,0
475,1,1,2,3,3,4,0
476,0,1,2,2,2,2,0
477,1,2,1,3,2,2,0
478,1,2,2,3,4,4,0
479,1,1,2,2,4,3,0
480,1,2,2,2,3,5,0
481,0,0,0,0,1,1,0
482,0,0,0,0,0,1,0
483,1,2,2,4,4,5,0
484,1,1,2,3,4,4,0
485,0,1,2,1,4,2,0
486,0,0,1,1,1,2,0
487,0,1,3,2,3,4,0
488,1,2,1,2,2,5,0
489,1,1,3,2,3,4,0
490,0,0,0,1,1,0,0
491,0,0,0,2,2,1,0
492,0,1,1,2,1,1,0
493,1,1,1,2,2,2,0
494,1,2,1,3,3,3,0
495,1,1,2,3,4,4,0
496,0,1,2,2,2,1,0
497,0,2,1,1,2,2,0
498,1,2,1,2,3,3,0
499,1,0,1,1,2,3,0
500,0,0,0,1,1,1,0
501,0,0,1,1,2,2,0
502,1,1,2,3,3,6,0
503,0,0,0,0,1,1,0
504,0,0,1,2,2,3,0
505,1,1,2,3,2,4,0
506,0,0,2,3,3,2,0
507,0,0,1,1,1,3,0
508,0,0,2,3,2,4,0
509,1,2,3,4,4,4,0
510,0,0,0,0,0,2,0
511,1,1,0,2,2,1,0
512,0,0,1,2,1,1,0
513,0,1,2,2,3,2,0
514,1,2,2,3,4,4,0
515,1,1,2,2,2,4,0
516,1,2,2,3,4,5,0
517,0,0,1,1,1,3,0
518,0,0,2,3,3,2,0
519,1,1,2,2,2,4,0
520,0,2,2,3,4,4,0
521,0,2,1,2,2,4,0
522,0,0,1,0,2,1,0
523,0,1,3,1,3,2,0
524,1,2,1,3,3,5,0
525,0,1,2,1,3,3,0
526,1,1,2,3,1,3,0
527,1,2,3,4,5,6,0
528,0,1,1,1,0,2,0
529,1,2,3,4,5,6,0
530,0,0,2,1,2,3,0
531,1,2,2,3,4,5,0
532,1,1,0,1,1,3,0
533,1,1,2,3,4,4,0
534,1,2,2,3,4,5,0
535,1,2,3,3,4,5,0
536,1,1,1,1,2,3,0
537,1,2,2,3,4,4,0
538,1,2,0,2,2,1,0
539,1,2,2,3,4,4,0
540,1,2,2,4,3,5,0
541,1,2,2,3,4,5,0
542,0,1,2,1,2,3,0
543,1,2,2,3,5,5,0
544,1,1,3,2,4,2,0
545,0,0,0,1,0,1,0
546,0,1,3,2,3,4,0
547,1,2,3,3,5,5,0
548,1,1,1,2,2,2,0
549,0,1,1,1,2,2,0
550,0,1,2,2,2,2,0
551,1,2,2,2,3,4,0
552,0,1,2,2,2,3,0
553,1,2,2,1,3,4,0
554,1,1,1,2,2,2,0
555,1,2,1,2,2,2,0
556,0,1,1,2,2,3,0
557,0,0,0,1,1,0,0
558,0,0,1,2,1,2,0
559,1,2,3,2,3,4,0
560,0,0,0,0,0,1,0
561,1,2,2,2,4,5,0
562,1,1,2,1,3,4,0
563,1,2,3,4,5,6,0
564,1,0,1,3,2,2,0
565,1,0,1,3,1,3,0
566,1,1,1,2,2,3,0
567,0,0,1,1,0,2,0
568,0,1,0,2,2,1,0
569,1,1,1,2,2,3,0
570,1,1,2,2,3,3,0
571,0,0,1,0,0,1,0
572,1,1,1,1,3,2,0
573,0,1,1,2,2,3,0
574,0,0,1,2,2,1,0
575,0,1,1,2,2,1,0
576,1,2,3,4,5,6,0
577,1,2,2,2,4,5,0
578,0,0,1,1,3,3,0
579,1,1,1,2,1,2,0
580,0,0,0,0,2,1,0
581,1,2,3,4,5,6,0
582,0,0,2,3,3,3,0
583,1,2,2,2,4,5,0
584,0,0,1,1,1,1,0
585,0,0,0,1,2,3,0
586,1,1,2,3,3,4,0
587,1,1,2,3,2,4,0
588,0,0,1,1,1,1,0
589,0,1,2,3,3,4,0
590,0,0,0,2,2,3,0
591,1,2,3,3,4,4,0
592,1,2,3,4,5,5,0
593,0,0,2,2,1,2,0
594,0,1,0,1,1,1,0
595,1,2,1,1,2,3,0
596,0,0,1,2,2,2,0
597,0,1,2,2,2,3,0
598,1,1,2,1,2,2,0
599,0,1,2,2,3,4,0
600,0,0,0,1,3,1,0
601,1,0,1,3,3,2,0
602,0,0,0,0,0,0,0
603,0,1,1,2,2,1,0
604,1,1,0,1,3,1,0
605,0,0,1,2,2,2,0
606,0,0,1,1,2,2,0
607,1,1,2,2,3,2,0
608,0,0,0,0,0,0,0
609,1,2,3,3,4,4,0
610,0,0,0,1,2,2,0
611,1,1,2,3,5,4,0
612,1,2,3,3,3,5,0
613,0,1,2,2,2,4,0
614,1,1,2,3,4,3,0
615,1,2,2,2,2,3,0
616,0,0,1,2,2,2,0
617,0,0,1,2,2,4,0
618,0,0,0,0,1,1,0
619,1,2,2,3,4,4,0
620,1,2,3,4,5,6,0
621,1,2,2,1,2,3,0
622,1,2,2,2,3,4,0
623,1,2,2,4,4,4,0
624,1,2,3,2,4,5,0
625,0,2,2,2,3,4,0
626,0,0,1,2,2,5,0
627,0,0,0,1,1,1,0
628,1,2,3,3,4,4,0
629,0,1,2,1,1,3,0
630,0,1,1,1,1,2,0
631,0,0,0,1,1,0,0
632,0,1,1,2,2,2,0
633,0,1,1,1,1,1,0
634,1,2,3,4,5,6,0
635,1,2,3,4,5,5,0
636,0,0,0,0,1,0,0
637,1,1,2,3,4,4,0
638,1,2,2,4,4,5,0
639,1,1,2,3,3,3,0
640,0,1,2,2,3,4,0
641,0,1,1,1,1,2,0
642,1,1,2,3,3,4,0
643,0,1,0,0,0,1,0
644,1,2,3,3,3,5,0
645,1,1,1,2,2,3,0
646,1,2,3,3,5,6,0
647,1,2,3,3,3,5,0
648,0,0,0,1,1,0,0
649,1,1,2,1,4,3,0
650,0,1,2,1,1,2,0
651,1,2,2,2,4,5,0
652,0,2,2,2,2,4,0
653,0,1,1,2,2,2,0
654,1,2,3,3,5,6,0
655,0,1,2,2,4,2,0
656,1,1,2,2,3,3,0
657,0,1,2,3,4,4,0
658,0,1,1,2,1,1,0
659,1,1,2,2,3,4,0
660,1,1,0,1,1,3,0
661,1,2,3,3,5,5,0
662,1,2,2,3,3,4,0
663,1,2,2,2,4,4,0
664,0,0,1,2,2,2,0
665,0,0,0,0,2,0,0
666,0,1,1,3,2,2,0
667,1,2,3,4,5,5,0
668,0,0,1,0,2,2,0
669,1,1,3,2,4,4,0
670,0,1,1,2,3,4,0
671,0,0,0,0,0,0,0
672,1,2,2,2,4,4,0
673,0,0,0,1,1,2,0
674,0,1,2,2,2,4,0
675,0,0,1,2,2,2,0
676,1,2,3,4,3,5,0
677,1,1,1,2,3,3,0
678,0,1,1,1,3,2,0
679,1,2,3,4,5,6,0
680,1,2,2,4,3,6,0
681,0,1,0,0,2,2,0
682,0,0,0,0,0,1,0
683,0,1,2,3,4,4,0
684,1,1,2,2,4,4,0
685,1,2,2,3,2,3,0
686,1,2,2,3,2,3,0
687,1,2,2,2,4,4,0
688,0,0,0,0,1,0,0
689,1,1,2,2,2,3,0
690,0,0,2,3,3,2,0
691,1,2,3,4,5,5,0
692,1,1,1,3,2,4,0
693,1,2,2,3,4,4,0
694,1,1,2,2,3,3,0
695,1,2,3,2,4,4,0
696,0,1,2,1,3,2,0
697,0,0,0,0,1,1,0
698,0,0,1,1,3,2,0
699,1,0,1,1,2,3,0
700,1,1,1,1,2,2,0
701,0,0,1,2,2,4,0
