,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,building_ID
0,0,1,1,2,2,3,0
1,0,0,1,2,1,4,0
2,1,1,1,2,3,4,0
3,1,2,3,2,2,4,0
4,1,2,2,3,2,4,0
5,0,1,2,2,1,4,0
6,0,1,0,1,1,2,0
7,1,1,2,1,1,2,0
8,0,0,0,0,1,1,0
9,1,1,2,2,1,3,0
10,1,2,2,2,3,5,0
11,0,0,0,0,1,0,0
12,0,0,1,0,3,1,0
13,0,2,3,3,3,5,0
14,1,2,3,4,5,6,0
15,0,1,1,3,2,2,0
16,0,0,1,2,3,4,0
17,0,0,1,1,3,2,0
18,1,2,3,4,5,6,0
19,0,0,2,2,3,4,0
20,1,2,2,3,4,5,0
21,0,0,1,2,1,4,0
22,1,2,2,3,3,4,0
23,0,1,2,2,2,4,0
24,1,2,2,2,4,3,0
25,1,2,2,3,4,4,0
26,1,1,2,1,4,3,0
27,1,2,2,3,3,5,0
28,1,1,2,2,3,5,0
29,1,2,3,4,4,5,0
30,0,0,0,0,2,1,0
31,0,0,1,1,1,2,0
32,0,0,0,0,1,2,0
33,1,2,3,4,5,6,0
34,0,1,2,3,3,2,0
35,0,0,1,1,3,3,0
36,1,1,1,1,4,3,0
37,0,0,0,0,0,3,0
38,0,0,0,1,2,2,0
39,0,0,0,2,3,2,0
40,0,1,0,2,1,3,0
41,0,1,2,2,3,1,0
42,1,2,2,3,4,4,0
43,0,0,1,2,2,2,0
44,0,0,1,1,2,2,0
45,0,1,1,3,1,1,0
46,1,2,2,4,5,5,0
47,0,0,1,1,1,2,0
48,0,0,0,3,2,3,0
49,0,0,0,1,2,3,0
50,0,1,1,1,0,2,0
51,1,1,2,2,3,4,0
52,1,2,2,3,5,5,0
53,1,1,1,2,3,3,0
54,1,1,2,3,3,3,0
55,0,1,1,1,2,4,0
56,0,0,1,1,1,1,0
57,0,1,0,1,1,1,0
58,0,2,2,3,3,4,0
59,0,0,0,1,2,3,0
60,1,2,2,3,5,5,0
61,0,1,1,0,1,2,0
62,1,1,2,3,3,3,0
63,0,1,1,2,3,4,0
64,0,1,2,2,3,4,0
65,1,2,3,4,5,5,0
66,1,2,2,3,3,4,0
67,1,2,3,4,5,5,0
68,0,0,0,0,3,3,0
69,0,0,0,1,2,2,0
70,1,2,3,4,5,5,0
71,0,1,1,2,4,4,0
72,1,1,1,3,2,4,0
73,0,1,0,2,2,2,0
74,0,0,0,0,1,0,0
75,0,1,1,1,1,3,0
76,1,2,3,4,4,6,0
77,0,1,2,3,1,2,0
78,1,2,2,3,4,5,0
79,0,1,0,1,1,1,0
80,0,1,1,1,1,3,0
81,1,0,2,2,3,3,0
82,0,0,0,2,1,1,0
83,1,2,1,2,4,4,0
84,0,1,0,2,1,1,0
85,0,1,2,3,4,3,0
86,0,0,0,0,2,2,0
87,1,1,1,0,3,2,0
88,0,2,2,2,3,4,0
89,0,0,0,0,1,2,0
90,0,0,0,1,2,3,0
91,1,1,1,2,4,3,0
92,0,1,3,3,4,5,0
93,1,2,2,4,4,4,0
94,0,1,3,3,3,4,0
95,1,1,3,3,5,6,0
96,0,0,3,3,4,3,0
97,1,2,3,3,3,4,0
98,1,2,2,3,4,5,0
99,1,1,1,2,2,2,0
100,1,2,1,2,3,4,0
101,0,0,0,2,1,3,0
102,0,1,1,3,3,4,0
103,0,1,1,2,1,1,0
104,0,0,1,1,0,1,0
105,1,1,2,2,3,2,0
106,0,0,2,3,1,4,0
107,0,0,0,0,1,1,0
108,0,0,0,2,4,3,0
109,1,2,1,3,3,5,0
110,0,1,2,2,4,3,0
111,0,0,1,0,1,1,0
112,1,1,1,2,3,4,0
113,0,1,0,1,2,3,0
114,1,1,2,1,3,4,0
115,0,1,1,1,3,4,0
116,1,1,2,1,1,3,0
117,0,1,1,2,2,2,0
118,1,2,2,3,3,5,0
119,0,0,2,1,1,0,0
120,0,0,1,0,0,2,0
121,0,1,2,2,1,3,0
122,1,1,2,2,3,4,0
123,1,1,3,4,2,3,0
124,0,1,2,2,3,2,0
125,1,1,3,3,4,3,0
126,1,2,3,4,5,4,0
127,1,0,3,3,3,4,0
128,1,1,1,3,4,4,0
129,1,1,1,3,4,4,0
130,0,0,1,0,3,4,0
131,0,2,2,3,4,2,0
132,0,0,1,2,3,3,0
133,1,1,1,1,2,3,0
134,0,1,2,2,4,4,0
135,0,0,0,0,1,0,0
136,1,1,3,4,4,4,0
137,1,1,3,3,3,3,0
138,1,2,2,3,5,5,0
139,0,1,0,2,1,2,0
140,0,0,0,0,1,1,0
141,1,0,1,1,0,2,0
142,1,1,1,2,2,2,0
143,0,1,2,2,3,4,0
144,0,0,2,3,2,4,0
145,0,0,1,1,0,1,0
146,1,2,2,4,4,5,0
147,1,2,2,4,5,6,0
148,0,0,1,0,0,0,0
149,0,2,1,1,2,3,0
150,0,0,1,0,1,2,0
151,1,2,2,3,3,4,0
152,0,1,1,1,1,1,0
153,0,1,3,3,4,4,0
154,0,0,0,0,0,2,0
155,1,1,1,3,3,4,0
156,1,2,3,3,2,4,0
157,1,2,3,3,4,6,0
158,0,0,0,0,1,1,0
159,0,0,0,0,0,0,0
160,0,1,2,3,3,4,0
161,0,1,0,2,2,4,0
162,1,1,1,2,1,1,0
163,0,2,2,4,2,4,0
164,1,2,2,4,1,5,0
165,1,2,3,3,2,5,0
166,0,1,1,1,1,1,0
167,0,0,1,0,0,2,0
168,1,1,2,1,4,3,0
169,0,0,0,0,1,1,0
170,0,0,0,0,1,0,0
171,1,2,3,4,5,6,0
172,0,2,1,2,2,4,0
173,0,0,1,0,1,3,0
174,1,1,3,3,4,5,0
175,1,2,2,4,4,4,0
176,1,1,3,3,4,3,0
177,0,1,1,1,2,3,0
178,1,2,2,2,4,4,0
179,1,2,3,3,5,5,0
180,1,1,2,2,1,3,0
181,1,1,2,2,2,4,0
182,0,1,2,2,1,4,0
183,1,2,3,4,5,6,0
184,0,0,3,3,5,4,0
185,1,1,2,3,4,4,0
186,0,1,2,3,3,4,0
187,0,1,3,4,4,4,0
188,1,0,1,1,4,3,0
189,0,0,1,0,1,1,0
190,0,1,2,2,3,4,0
191,1,2,2,3,3,4,0
192,1,1,2,3,4,5,0
193,1,2,3,4,4,4,0
194,1,1,1,2,3,3,0
195,0,0,0,1,1,1,0
196,0,0,0,1,1,1,0
197,0,1,2,3,3,5,0
198,0,0,0,0,0,1,0
199,1,2,3,4,4,4,0
200,0,1,0,2,1,2,0
201,0,1,1,1,2,3,0
202,0,1,1,2,3,2,0
203,1,1,1,3,3,3,0
204,1,2,2,3,4,4,0
205,1,2,2,3,3,4,0
206,1,2,3,4,2,3,0
207,0,1,2,2,2,3,0
